[DEBUG] Procedimento 0 carregado: Tempo Médio = 0.200000, Número de Unidades = 2
[DEBUG] Procedimento 1 carregado: Tempo Médio = 0.500000, Número de Unidades = 10
[DEBUG] Procedimento 2 carregado: Tempo Médio = 0.100000, Número de Unidades = 20
[DEBUG] Procedimento 3 carregado: Tempo Médio = 0.050000, Número de Unidades = 3
[DEBUG] Procedimento 4 carregado: Tempo Médio = 0.500000, Número de Unidades = 50
[DEBUG] Procedimento 5 carregado: Tempo Médio = 0.050000, Número de Unidades = 22
[DEBUG] Evento retirado -> ID: 9916267, Tempo: 443191.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916251, Tempo: 443191.45, Tempo de espera: 0.20, Estado: 11
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443191.65, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916266, Tempo: 443191.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916267, Tempo: 443191.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916239, Tempo: 443192.00, Tempo de espera: 0.20, Estado: 11
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443192.25, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916268, Tempo: 443193.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443193.00, Tempo de espera: -0.00, Estado: 7
[DEBUG] Evento retirado -> ID: 9916243, Tempo: 443193.05, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916268, Tempo: 443193.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916242, Tempo: 443193.35, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916251, Tempo: 443193.45, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916268, Tempo: 443193.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916269, Tempo: 443194.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916269, Tempo: 443194.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916269, Tempo: 443194.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916278, Tempo: 443195.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916284, Tempo: 443195.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916278, Tempo: 443195.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916284, Tempo: 443195.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443195.55, Tempo de espera: -0.00, Estado: 9
[DEBUG] Evento retirado -> ID: 9916278, Tempo: 443195.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916284, Tempo: 443195.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916286, Tempo: 443196.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916286, Tempo: 443196.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916239, Tempo: 443196.50, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916286, Tempo: 443196.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916293, Tempo: 443197.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443197.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443197.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916293, Tempo: 443197.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443197.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443197.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916242, Tempo: 443197.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916293, Tempo: 443197.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443197.70, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443197.90, Tempo de espera: 0.20, Estado: 5
[DEBUG] Evento retirado -> ID: 9916296, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916297, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916299, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916300, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916301, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916302, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916303, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443198.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443198.00, Tempo de espera: 0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916296, Tempo: 443198.20, Tempo de espera: -0.00, Estado: 3
